Timestamp,Accel_X,Accel_Y,Gyro_Z,Mag_X,Mag_Y,GPS_x,GPS_Y,Calc_Accel_X,Calc_Accel_Y,Calc_Gyro_Z,Calc_Mag_X_Y
1954,16329,4971,-200,-4096,1581,60720.00,0.00,4.888534240722657,1.4882052612304688,-1.52587890625,-1.2024287663348872
1989,18152,-232,1169,-4096,1581,60720.00,0.00,5.43429931640625,-0.06945556640625,8.91876220703125,-1.2024287663348872
2024,14537,-8139,1522,-4096,1581,60720.00,0.00,4.352049865722656,-2.436632995605469,11.6119384765625,-1.2024287663348872
2059,15616,-2432,179,-4105,1755,60720.00,0.00,4.675078125000001,-0.7280859375000001,1.36566162109375,-1.1667868932220054
2094,20731,477,1970,-4105,1755,60720.00,0.00,6.206393737792969,0.14280303955078125,15.0299072265625,-1.1667868932220054
2129,18032,-3280,6398,-4105,1755,60720.00,0.00,5.3983740234375,-0.9819580078125001,48.8128662109375,-1.1667868932220054
2164,15304,-1255,830,-4150,1959,60720.00,0.00,4.581672363281251,-0.3757186889648438,6.3323974609375,-1.1297591538396976
2198,11132,-2501,-7546,-4150,1959,60720.00,0.00,3.3326696777343754,-0.7487429809570313,-57.5714111328125,-1.1297591538396976
2232,19746,-356,-2843,-4150,1959,60720.00,0.00,5.911506958007813,-0.106578369140625,-21.69036865234375,-1.1297591538396976
2265,14844,-2718,-2268,-4227,1965,60720.00,0.00,4.443958740234375,-0.8137078857421876,-17.303466796875,-1.135646615362013
2298,13848,132,-4607,-4227,1965,60720.00,0.00,4.14577880859375,0.039517822265625,-35.14862060546875,-1.135646615362013
2331,17243,-1003,-5358,-4227,1965,60720.00,0.00,5.162165222167969,-0.30027557373046876,-40.8782958984375,-1.135646615362013
2364,15844,1446,-4160,-4298,1955,60720.00,0.00,4.743336181640625,0.4328997802734375,-31.73828125,-1.1439059202427075
2397,15464,3354,-4865,-4298,1955,60720.00,0.00,4.62957275390625,1.0041119384765627,-37.11700439453125,-1.1439059202427075
2430,14538,2804,-4118,-4298,1955,60720.00,0.00,4.3523492431640625,0.839454345703125,-31.4178466796875,-1.1439059202427075
2463,15938,3820,-792,-4342,1711,60720.00,0.00,4.7714776611328125,1.1436218261718751,-6.04248046875,-1.19542280290202
2496,14674,3162,-235,-4342,1711,60720.00,0.00,4.393064575195313,0.9466314697265625,-1.79290771484375,-1.19542280290202
2529,13811,3997,-4946,-4342,1711,60720.00,0.00,4.134701843261719,1.1966116333007812,-37.7349853515625,-1.19542280290202
2562,15275,3590,-4725,-4296,1648,60720.00,0.00,4.572990417480469,1.0747650146484375,-36.04888916015625,-1.2044962912813142
2595,14945,5419,-1065,-4296,1648,60720.00,0.00,4.474195861816407,1.6223263549804687,-8.12530517578125,-1.2044962912813142
2628,14882,5378,-920,-4296,1648,60720.00,0.00,4.455335083007813,1.6100518798828125,-7.01904296875,-1.2044962912813142
2661,12961,5666,-1420,-4307,1504,60720.00,0.00,3.8802310180664064,1.6962725830078127,-10.833740234375,-1.2348352905451105
2694,10930,5076,-2141,-4307,1504,60720.00,0.00,3.2721954345703126,1.5196398925781252,-16.33453369140625,-1.2348352905451105
2727,14919,7119,-1531,-4307,1504,60720.00,0.00,4.466412048339844,2.1312680053710937,-11.68060302734375,-1.2348352905451105
2760,12083,7415,-46,-4262,1349,60720.00,0.00,3.617377624511719,2.219883728027344,-0.3509521484375,-1.2642550700010202
2793,15176,7313,1149,-4262,1349,60720.00,0.00,4.54335205078125,2.189347229003906,8.76617431640625,-1.2642550700010202
2826,11425,6215,4144,-4262,1349,60720.00,0.00,3.4203872680664062,1.8606307983398438,31.6162109375,-1.2642550700010202
2859,11403,5587,6203,-4283,1365,60720.00,0.00,3.413800964355469,1.6726217651367188,47.32513427734375,-1.2622713977251492
2893,15194,8332,11021,-4283,1365,60720.00,0.00,4.548740844726563,2.494412841796875,84.08355712890625,-1.2622713977251492
2929,13050,6929,12469,-4283,1365,160721.00,0.00,3.9068756103515625,2.0743862915039064,95.13092041015625,-1.2622713977251492
2964,13115,5313,9023,-4207,1741,160721.00,0.00,3.926335144042969,1.5905923461914064,68.84002685546875,-1.1784211918519378
2999,16485,4671,8304,-4207,1741,160721.00,0.00,4.935237121582031,1.3983920288085938,63.3544921875,-1.1784211918519378
3034,16913,3977,11019,-4207,1741,160721.00,0.00,5.063370666503906,1.1906240844726563,84.06829833984375,-1.1784211918519378
3069,14936,2828,9902,-4038,2141,160721.00,0.00,4.47150146484375,0.846639404296875,75.5462646484375,-1.0832714907883858
3104,16137,803,7908,-4038,2141,160721.00,0.00,4.831053771972656,0.24040008544921876,60.333251953125,-1.0832714907883858
3139,18868,306,6821,-4038,2141,160721.00,0.00,5.6486535644531255,0.0916094970703125,52.04010009765625,-1.0832714907883858
3174,15929,-932,3628,-3947,2491,160721.00,0.00,4.768783264160157,-0.279019775390625,27.679443359375,-1.0078137641035279
3208,15532,254,44,-3947,2491,160721.00,0.00,4.649930419921875,0.07604187011718751,0.335693359375,-1.0078137641035279
3241,15091,2043,196,-3947,2491,160721.00,0.00,4.517904968261719,0.6116281127929688,1.495361328125,-1.0078137641035279
3274,17520,1824,4417,-4009,2459,160721.00,0.00,5.2450927734375,0.5460644531250001,33.69903564453125,-1.020603962844769
3307,15778,2910,8246,-4009,2459,160721.00,0.00,4.723577270507813,0.8711883544921876,62.9119873046875,-1.020603962844769
3340,15232,1700,12139,-4009,2459,160721.00,0.00,4.5601171875,0.508941650390625,92.61322021484375,-1.020603962844769
3373,16809,-4291,16360,-3842,2744,160721.00,0.00,5.0322354125976565,-1.2846286010742187,124.81689453125,-0.950596084915054
3406,16201,-4432,16771,-3842,2744,160721.00,0.00,4.850213928222656,-1.3268408203125002,127.95257568359375,-0.950596084915054
3439,14808,-6456,13405,-3842,2744,160721.00,0.00,4.43318115234375,-1.93278076171875,102.27203369140625,-0.950596084915054
3472,16292,-5224,8234,-3322,3244,160721.00,0.00,4.877457275390626,-1.56394775390625,62.8204345703125,-0.797276983257347
3505,15715,-4160,10076,-3322,3244,160721.00,0.00,4.704716491699219,-1.24541015625,76.873779296875,-0.797276983257347
3538,15051,-6023,13203,-3322,3244,160721.00,0.00,4.505929870605469,-1.803150329589844,100.73089599609375,-0.797276983257347
3571,10216,-9792,9901,-2749,3485,160721.00,0.00,3.05843994140625,-2.93150390625,75.53863525390625,-0.6678799260661296
3604,10810,-10412,956,-2749,3485,160721.00,0.00,3.2362701416015627,-3.117117919921875,7.293701171875,-0.6678799260661296
3637,12676,-7066,-2092,-2749,3485,160721.00,0.00,3.7949084472656254,-2.1154010009765627,-15.960693359375,-0.6678799260661296
3670,11212,-7202,-3536,-2500,3498,160721.00,0.00,3.356619873046875,-2.156116333007813,-26.9775390625,-0.6205198585496394
3703,14457,-8040,-5688,-2500,3498,160721.00,0.00,4.328099670410157,-2.4069946289062503,-43.39599609375,-0.6205198585496394
3736,11628,-8632,-8840,-2500,3498,160721.00,0.00,3.4811608886718752,-2.58422607421875,-67.44384765625,-0.6205198585496394
3769,13154,-5774,-12807,-2763,3243,160721.00,0.00,3.9380108642578127,-1.7286053466796876,-97.70965576171875,-0.7056475900336643
3802,17828,-4171,-11621,-2763,3243,160721.00,0.00,5.337301025390626,-1.2487033081054688,-88.66119384765625,-0.7056475900336643
3835,13396,-5126,-14179,-2763,3243,160721.00,0.00,4.010460205078125,-1.5346087646484377,-108.17718505859375,-0.7056475900336643
3868,16033,-2133,-15433,-3566,2773,160721.00,0.00,4.799918518066407,-0.6385720825195312,-117.74444580078125,-0.9098502358975015
3903,15509,-1593,-12886,-3566,2773,160721.00,0.00,4.6430447387695315,-0.47690826416015625,-98.3123779296875,-0.9098502358975015
3938,16357,553,-11391,-3566,2773,160722.00,0.00,4.896916809082032,0.16555572509765626,-86.90643310546875,-0.9098502358975015
